ID,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,Class
1,0.0322545331358,0.433926254694,0,0,0,0.071278465528,0,0,0.455051386714,0,trade
2,0,0.185779905131,0,0.134172257878,0,0,0,0,0.526696172961,0.142028194743,grain
3,0.0246733262782,0,0,0.328201543385,0,0.0724794434735,0.141134121173,0,0.427696109618,0,crude
4,0,0,0.0489896865316,0,0,0.0558873421916,0.384130013754,0.0517880958473,0.453456817295,0,trade
5,0.111630553061,0.271335146235,0,0.430431343663,0,0,0,0,0.107038919124,0.073816096508,ship
6,0,0,0,0,0,0,0,0,0.924983059144,0,grain
7,0.0361144014843,0.51061292833,0.0861824653855,0.0647132026007,0.0155338885312,0.0991671401778,0,0.0963118746645,0.0410960632717,0.04977450694,acq
8,0,0.440448455339,0,0,0.012659716572,0.443832355443,0,0.0793566902382,0.0198553820669,0,money-fx
9,0,0.281279617005,0,0.0772390074109,0.0294605401864,0,0.258350653263,0.0923500092538,0.0444731433136,0.214303848752,acq
10,0.0203727433572,0.30127148633,0.0433132683039,0.0163008246662,0,0,0.0148788919818,0.0287601292017,0.573645989763,0,trade
11,0,0.0588289957534,0.299000879727,0,0,0,0.426415371203,0,0.201797197409,0,earn
12,0,0,0,0,0.983016195741,0,0,0,0,0,earn
13,0,0,0,0,0,0,0,0,0,0.981997578656,money-fx
14,0,0.553710567511,0,0,0,0.243941610139,0.0895271259638,0,0.109907595149,0,trade
15,0,0,0,0.0941549559189,0,0,0.413060837665,0,0,0.473335532251,acq
16,0.0492414598165,0.0809521608911,0,0,0,0,0.722136442292,0.13997557553,0,0,earn
17,0,0.53080794441,0,0.0784161516068,0.0742098107676,0,0.171271446092,0.0786243332403,0.0627090446292,0,earn
18,0,0.179179330773,0,0,0.154158703028,0,0.240565124606,0.249313374404,0,0.166364464287,earn
19,0,0,0,0,0.652946882863,0.182356195233,0.142819455092,0,0,0,earn
20,0.0872289604896,0.502346649516,0,0,0,0,0,0,0.40273004546,0,trade
21,0.061678540546,0.187290644405,0.29167766365,0,0,0,0.253149852323,0.0657116076393,0,0.136142784665,acq
22,0,0.553225356222,0,0,0,0.134813604496,0.0327727590571,0.209542001078,0.0301167304171,0.0384332709083,interest
23,0.699999972515,0.0333333349297,0.0333333380855,0.0333333333335,0.0333333333335,0.0333333333859,0.0333333333362,0.0333333520898,0.0333333333518,0.0333333356388,earn
24,0,0.169897757476,0.189065797059,0.0803271951063,0,0.0613225769825,0.424167121543,0.0701549376897,0,0,acq
25,0,0,0,0,0.0417769435531,0.364390293781,0.550945307668,0,0.0285986840989,0,earn
26,0,0.604614410067,0,0.153750847207,0,0,0,0,0.233096296759,0,trade
27,0.152719083859,0.104619582341,0.562431423158,0,0,0,0,0.0965207064997,0.0680803454387,0,acq
28,0.0632007902245,0.0963550264491,0,0.0846048423679,0,0,0.0711773334875,0.0361533596428,0.643027874845,0,acq
29,0.0635883755306,0.148715346232,0.388363551523,0.0557272746929,0,0,0.164408078039,0.144469263204,0,0.0316023709149,earn
30,0.0872190727046,0.502395492846,0,0,0,0,0,0,0.402691089933,0,trade
31,0,0,0,0,0,0.311815293091,0,0.668668616807,0,0,money-fx
32,0,0,0,0,0,0,0,0,0,0.977496482442,money-fx
33,0.0816474614971,0.201095677874,0.236413996798,0,0,0.0634090773814,0.260137476887,0.0210482612614,0.0570300881844,0.0786189741969,acq
34,0,0,0,0,0,0.272675161358,0.708717365722,0,0,0,earn
35,0,0,0,0,0,0,0.860245411004,0,0,0.121568155331,earn
36,0,0.68935666321,0,0.0497100028363,0,0,0,0.17201266388,0.0861551307514,0,money-fx
37,0,0,0.758388834848,0,0,0,0.218077792525,0,0,0,acq
38,0,0.0517457444421,0.0244042769059,0,0,0,0.842869715347,0,0.0721547674048,0,earn
39,0.0166666857575,0.0166666689099,0.0166668820738,0.016666670017,0.849999603839,0.0166666978738,0.0166667505056,0.0166666855293,0.0166666732803,0.0166666822134,earn
40,0,0.218756927996,0.370195013059,0,0.0472561808503,0.242488672592,0,0,0.113724486578,0,acq
41,0.699999973469,0.0333333349192,0.0333333381387,0.0333333333335,0.0333333333335,0.0333333333859,0.0333333333362,0.033333351089,0.0333333333518,0.0333333356433,acq
42,0,0.0775987239161,0.314749725824,0,0,0.0925722679651,0.384104802539,0,0,0.122201007107,acq
