ID,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,Class
1,0.408526429162,0,0,0,0,0,0,0,0.560699312229,0,grain
2,0,0,0,0,0.138771424587,0,0,0,0.84766671419,0,corn
3,0,0,0.968960436627,0,0,0,0,0,0,0,earn
4,0,0,0.39964471453,0,0,0,0.401997498791,0,0,0.191689928104,acq
5,0,0,0,0,0.866745799305,0,0,0,0,0.103615984982,earn
6,0,0,0,0,0,0,0.777649538477,0.210407464348,0,0,earn
7,0,0,0,0,0.985245321936,0,0,0,0,0,earn
8,0,0,0,0,0.957140312795,0,0,0,0,0,earn
9,0,0,0,0.133501945894,0.0684587859176,0,0.567303710191,0,0.225019636891,0,earn
10,0,0,0.0636855977427,0.201557351805,0,0,0,0,0.620886524458,0.0956851791168,wheat
11,0,0,0.107454492975,0,0.074892288892,0,0.811109863673,0,0,0,earn
12,0,0,0,0,0.918264895505,0,0.0574916200719,0,0,0,earn
13,0,0,0,0,0.788711713025,0,0.183697663835,0,0,0,earn
14,0.0142857461918,0.014285720696,0.0142858667709,0.0142857304086,0.871427874806,0.0142857470368,0.0142857802252,0.0142860739099,0.0142857241696,0.0142857357852,earn
15,0,0,0,0,0.974283618227,0,0,0,0,0,earn
16,0,0,0,0,0.95909021276,0,0,0,0,0,earn
17,0,0.142412161065,0,0,0,0,0.837583697302,0,0,0,earn
18,0,0,0,0,0.979998662554,0,0,0,0,0,earn
19,0,0,0.427159767165,0.147505374747,0,0.401995858885,0,0,0,0,acq
20,0,0.208983261419,0.189392025692,0.0293039116482,0,0.279017865011,0.142083901493,0.0283518232308,0.1210260639,0,acq
21,0,0.35289683196,0,0.325694610739,0,0.0777862315554,0,0,0.228986432694,0,trade
22,0,0.802254804933,0,0,0,0,0.165738403063,0,0,0,ship
23,0,0,0.466174825423,0,0.483814500651,0,0,0,0,0,earn
24,0.0142857359277,0.0142857605463,0.0142858698305,0.0142857454422,0.871427749207,0.0142858091938,0.0142860033506,0.0142857441928,0.0142857518701,0.0142858304393,earn
25,0,0,0,0,0.0886539351047,0,0.841404269518,0.061893775362,0,0,earn
26,0,0,0,0.184600275313,0,0,0.159607614692,0,0.52685097518,0.115605790502,grain
27,0,0,0.292622405781,0,0,0,0.201637712835,0.134587957385,0.3638336928,0,ship
28,0,0,0,0.183014619415,0.187304877056,0,0.600509364623,0,0,0,earn
29,0,0,0,0,0.947056211975,0,0,0,0,0,earn
30,0,0,0,0,0.972721318908,0,0,0,0,0,earn
31,0,0,0.486712087551,0.187411897468,0,0,0,0,0,0.299946649136,acq
32,0.0111113434176,0.0111114869191,0.0111116328685,0.011111330385,0.899996367029,0.0111114738506,0.0111116140729,0.0111115610153,0.0111114053654,0.0111117850763,earn
33,0,0,0.167429256741,0,0.720537553978,0,0.0953647888892,0,0,0,earn
34,0,0,0,0,0.467428587391,0.1040054429,0,0,0,0.405979410423,earn
35,0,0,0.305671138288,0,0.652216682046,0,0,0,0,0,earn
36,0.0166666857585,0.01666666891,0.0166668857104,0.0166666700171,0.849999600001,0.016666697877,0.0166667507013,0.0166666855299,0.0166666732806,0.0166666822139,earn
37,0.0166669752039,0.0166673252631,0.016667306578,0.0166673158036,0.849994032746,0.0166676714405,0.0166673381234,0.0166669362962,0.0166672682887,0.016667830257,earn
38,0,0,0,0,0.935712598936,0,0,0,0,0,earn
39,0.0125002294489,0.0125003996004,0.012500516041,0.012500662524,0.887494798996,0.0125007433337,0.0125005547927,0.0125002272227,0.0125004164515,0.0125014515893,earn
40,0,0,0.173461465631,0,0.78653288973,0,0,0,0,0,earn
41,0,0,0,0,0,0,0.963995799608,0,0,0,acq
42,0,0,0,0,0,0,0,0,0.46468904086,0.500522576177,grain
43,0,0,0,0,0.965383537818,0,0,0,0,0,earn
44,0.0100006618655,0.773136061541,0.010000781996,0.0100014222492,0.0100041568529,0.0100013558339,0.0100037897399,0.010000921667,0.146848565555,0.0100022827001,grain
45,0.0142859236914,0.0142862475874,0.0142864827956,0.0142860631655,0.871424123484,0.0142861878995,0.0142863362092,0.0142860713315,0.0142860739475,0.0142864898882,earn
46,0.036227129929,0.317009707456,0.105383497241,0,0,0,0.214289911577,0.197773481536,0.0641468089058,0.064112886137,acq
47,0,0,0.593344726619,0,0.263684422836,0,0.125467119171,0,0,0,earn
48,0,0,0,0,0,0,0.781263167409,0,0.206426466042,0,earn
49,0,0,0,0,0,0,0.489024581791,0,0.485165749925,0,grain
50,0,0,0,0,0,0,0.974997122963,0,0,0,acq
51,0,0,0,0,0.962499324562,0,0,0,0,0,earn
52,0,0,0,0.98199554992,0,0,0,0,0,0,crude
53,0,0,0.935710982713,0,0,0,0,0,0,0,acq
54,0.699999977068,0.0333333348865,0.0333333377644,0.0333333333335,0.0333333333335,0.0333333333857,0.0333333333362,0.0333333479817,0.0333333333517,0.0333333355588,earn
55,0.0449732809219,0,0,0,0.0567791840083,0,0.749190198553,0,0.140836002025,0,earn
56,0,0,0,0.139898476419,0,0.32487946333,0.498372560768,0,0,0,acq
57,0,0,0.176180525158,0,0,0,0.802192969659,0,0,0,acq
58,0.0433344993636,0,0,0,0,0.0219164830695,0,0.083025936415,0.641659217559,0.205475654106,grain
59,0,0,0,0,0.970966718139,0,0,0,0,0,earn
60,0.0250000129122,0.0250000003146,0.0250000439873,0.0250000017135,0.774999816439,0.0250000046571,0.0250001037891,0.0250000024236,0.0250000019763,0.0250000117872,earn
61,0,0,0,0,0.922952276336,0,0.0527993564497,0,0,0,earn
62,0.0142857862939,0.0142857912863,0.0142857527311,0.0142857872236,0.871426517251,0.0142861156628,0.0142863384681,0.0142860937678,0.0142859877445,0.0142858295708,earn
63,0.0142857178166,0.0142857147401,0.0142857388147,0.0142871161655,0.871410322191,0.0142859496754,0.0142947886421,0.0142863840629,0.0142890352775,0.0142892326139,earn
64,0,0.18252705876,0,0.128525896526,0,0,0,0.451854754189,0.23410629741,0,crude
65,0,0,0,0.0427669482557,0.306835488715,0,0.643180283194,0,0,0,earn
66,0.0754334830259,0,0.685558046263,0,0.202160963886,0,0,0,0,0,earn
67,0,0,0.631975355002,0,0,0,0.34802069326,0,0,0,earn
68,0,0,0,0,0.959087305927,0,0,0,0,0,earn
